,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
745,2011-06-01,BAJAJFINSV,EQ,518.4,521.8,528.95,517.1,521.1,521.05,522.81,113360,5926609465000.0,4155.0,34098,0.3008
746,2011-06-02,BAJAJFINSV,EQ,521.05,518.8,519.85,504.0,514.95,512.45,513.71,62967,3234649945000.0,2437.0,21069,0.3346
747,2011-06-03,BAJAJFINSV,EQ,512.45,512.5,520.0,506.0,507.1,508.4,513.11,36445,1870040225000.0,1754.0,10702,0.2936
748,2011-06-06,BAJAJFINSV,EQ,508.4,508.0,508.0,496.0,502.25,502.25,501.92,33537,1683281264999.9998,1346.0,14215,0.4239
749,2011-06-07,BAJAJFINSV,EQ,502.25,503.0,552.0,503.0,546.5,545.5,536.79,1237385,66421123965000.0,36245.0,216387,0.1749
750,2011-06-08,BAJAJFINSV,EQ,545.5,541.0,564.55,533.7,557.3,560.75,551.83,1165795,64332341804999.99,33473.0,156834,0.1345
751,2011-06-09,BAJAJFINSV,EQ,560.75,559.75,574.4,545.2,563.0,564.2,564.84,1072031,60552451715000.0,30766.0,206425,0.1926
752,2011-06-10,BAJAJFINSV,EQ,564.2,567.1,573.45,555.6,557.8,560.9,565.45,540701,30573935520000.0,17541.0,99708,0.1844
753,2011-06-13,BAJAJFINSV,EQ,560.9,564.05,565.6,546.05,550.5,550.65,555.53,165282,9181929570000.0,5048.0,36326,0.2198
754,2011-06-14,BAJAJFINSV,EQ,550.65,552.45,568.9,551.0,552.0,552.5,560.41,205216,11500419940000.0,7752.0,53860,0.2625
755,2011-06-15,BAJAJFINSV,EQ,552.5,556.0,565.7,546.0,548.05,548.15,557.41,140596,7837026480000.0,4749.0,36142,0.2571
756,2011-06-16,BAJAJFINSV,EQ,548.15,548.0,550.0,531.15,539.5,537.8,542.89,63988,3473834379999.9995,2250.0,14085,0.2201
757,2011-06-17,BAJAJFINSV,EQ,537.8,541.2,547.8,530.2,538.4,534.3,538.38,71705,3860454440000.0,2448.0,22022,0.3071
758,2011-06-20,BAJAJFINSV,EQ,534.3,539.8,539.8,500.0,515.0,513.4,518.69,89233,4628441480000.0,4400.0,35746,0.4006
759,2011-06-21,BAJAJFINSV,EQ,513.4,523.0,523.0,492.1,504.3,497.95,508.92,87525,4454330930000.0,3767.0,29635,0.3386
760,2011-06-22,BAJAJFINSV,EQ,497.95,503.95,515.0,485.0,487.3,487.05,495.11,135957,6731300584999.999,6565.0,61668,0.4536
761,2011-06-23,BAJAJFINSV,EQ,487.05,491.7,491.7,479.0,489.0,484.55,483.51,106070,5128544950000.0,2944.0,49452,0.4662
762,2011-06-24,BAJAJFINSV,EQ,484.55,483.2,509.0,483.2,506.0,506.3,498.86,140544,7011207509999.999,7490.0,58696,0.4175999999999999
763,2011-06-27,BAJAJFINSV,EQ,506.3,499.8,540.0,499.6,524.0,522.25,521.74,516489,26947414550000.0,14882.0,209828,0.4063
764,2011-06-28,BAJAJFINSV,EQ,522.25,526.9,529.95,516.0,517.65,518.35,522.65,131920,6894851870000.0,5740.0,34486,0.2614
765,2011-06-29,BAJAJFINSV,EQ,518.35,522.65,525.5,515.0,515.35,518.05,518.88,64271,3334911045000.0,2873.0,17839,0.2776
766,2011-06-30,BAJAJFINSV,EQ,518.05,520.3,520.95,508.0,517.0,514.25,515.03,135255,6966079430000.0,3755.0,70629,0.5222
