,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2850,2011-06-01,HDFC,EQ,684.05,676.55,692.95,676.55,689.0,689.1,688.38,1204308,82902301955000.0,38210.0,562346.0,0.4669
2851,2011-06-02,HDFC,EQ,689.1,681.05,684.7,676.6,680.25,680.0,680.53,1100046,74861382335000.0,20300.0,637219.0,0.5793
2852,2011-06-03,HDFC,EQ,680.0,678.5,683.05,658.25,659.15,660.05,668.24,2170805,145062761775000.0,33742.0,1435985.0,0.6615000000000001
2853,2011-06-06,HDFC,EQ,660.05,659.95,674.1,659.15,671.0,670.65,668.56,2854529,190841149205000.0,38749.0,2007268.0,0.7031999999999999
2854,2011-06-07,HDFC,EQ,670.65,668.0,674.65,662.3,667.35,669.2,669.01,1865334,124792413609999.98,35136.0,1207216.0,0.6472
2855,2011-06-08,HDFC,EQ,669.2,664.0,669.5,657.0,658.0,658.3,661.94,994235,65812116010000.0,25118.0,613214.0,0.6168
2856,2011-06-09,HDFC,EQ,658.3,658.0,662.4,650.4,655.0,654.8,655.74,2103369,137926848450000.0,38494.0,1370977.0,0.6518
2857,2011-06-10,HDFC,EQ,654.8,654.0,658.5,645.55,651.0,651.5,650.91,2562491,166794543385000.0,58246.0,1861575.0,0.7265
2858,2011-06-13,HDFC,EQ,651.5,649.45,659.5,646.35,659.2,657.0,653.54,1371393,89626143480000.0,31802.0,827816.0,0.6036
2859,2011-06-14,HDFC,EQ,657.0,648.0,655.65,643.5,648.0,648.4,649.99,2835239,184288511370000.0,39292.0,1289162.0,0.4547
2860,2011-06-15,HDFC,EQ,648.4,647.0,659.4,646.0,647.2,648.2,653.37,2358264,154082126005000.0,49429.0,1553040.0,0.6586
2861,2011-06-16,HDFC,EQ,648.2,647.7,655.9,643.1,649.0,648.1,649.55,2316006,150435168535000.0,35971.0,1600061.0,0.6909000000000001
2862,2011-06-17,HDFC,EQ,648.1,654.5,654.5,635.55,639.9,638.65,640.15,1745082,111711256659999.98,25877.0,1050153.0,0.6018
2863,2011-06-20,HDFC,EQ,638.65,640.8,641.95,625.1,630.35,630.05,632.36,4128299,261056695490000.0,87883.0,2942400.0,0.7127
2864,2011-06-21,HDFC,EQ,630.05,633.0,649.3,631.0,641.0,643.05,641.97,1956632,125610813455000.0,38941.0,1165396.0,0.5956
2865,2011-06-22,HDFC,EQ,643.05,639.0,649.0,635.0,647.6,644.65,641.82,1890470,121334001275000.0,27771.0,1319499.0,0.698
2866,2011-06-23,HDFC,EQ,644.65,642.1,645.75,636.0,638.0,638.95,640.07,847197,54226762800000.0,45880.0,481102.0,0.5679
2867,2011-06-24,HDFC,EQ,638.95,640.55,670.45,640.55,668.65,668.0,657.88,3635723,239186057510000.0,55301.0,2462218.0,0.6772
2868,2011-06-27,HDFC,EQ,668.0,660.5,684.9,660.5,675.15,674.55,678.62,3281812,222711875030000.03,70973.0,2429219.0,0.7402
2869,2011-06-28,HDFC,EQ,674.55,678.1,692.0,675.5,688.9,689.75,685.25,2608360,178739053015000.0,58004.0,1704503.0,0.6535
2870,2011-06-29,HDFC,EQ,689.75,692.6,699.5,692.6,695.25,696.05,696.81,1739032,121177819070000.0,59550.0,1124731.0,0.6468
2871,2011-06-30,HDFC,EQ,696.05,696.2,709.9,696.2,702.45,706.3,704.09,4189494,294978650450000.0,67415.0,2718595.0,0.6489
2872,2011-07-01,HDFC,EQ,706.3,710.05,712.0,701.3,702.1,703.3,707.25,1878221,132837676345000.0,39442.0,972868.0,0.518
2873,2011-07-04,HDFC,EQ,703.3,708.0,710.0,696.8,700.5,700.75,702.06,1268259,89038925615000.0,39145.0,817285.0,0.6444
