,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2850,2011-06-01,ICICIBANK,EQ,1086.1,1083.8,1088.5,1069.05,1084.8,1084.7,1078.91,2725196,294025193700000.0,64507.0,1267748.0,0.4652
2851,2011-06-02,ICICIBANK,EQ,1084.7,1061.7,1062.0,1042.4,1051.1,1048.9,1053.89,2952892,311203345820000.0,75128.0,1457410.0,0.4936
2852,2011-06-03,ICICIBANK,EQ,1048.9,1055.0,1068.0,1041.1,1051.05,1047.4,1056.13,2183795,230637021855000.03,53520.0,783536.0,0.3588
2853,2011-06-06,ICICIBANK,EQ,1047.4,1040.0,1064.0,1035.5,1059.45,1058.05,1048.19,1462591,153307746715000.0,50627.0,494182.0,0.3379
2854,2011-06-07,ICICIBANK,EQ,1058.05,1050.3,1063.75,1050.05,1055.95,1056.15,1058.22,1368471,144813751275000.0,44051.0,569616.0,0.4161999999999999
2855,2011-06-08,ICICIBANK,EQ,1056.15,1050.15,1062.4,1040.0,1051.0,1049.05,1052.04,1360757,143157354090000.0,46062.0,388824.0,0.2857
2856,2011-06-09,ICICIBANK,EQ,1049.05,1045.0,1056.9,1042.5,1047.4,1048.0,1049.85,2136522,224302337480000.03,51927.0,1023385.0,0.479
2857,2011-06-10,ICICIBANK,EQ,1048.0,1050.0,1050.0,1026.6,1034.5,1035.9,1036.38,2151221,222948687950000.0,57943.0,1020514.0,0.4744
2858,2011-06-13,ICICIBANK,EQ,1035.9,1030.2,1046.0,1027.95,1043.1,1039.6,1037.74,1874470,194521274450000.0,51105.0,946726.0,0.5051
2859,2011-06-14,ICICIBANK,EQ,1039.6,1041.0,1057.45,1041.0,1055.55,1055.55,1051.98,2474880,260353316090000.0,48319.0,1401692.0,0.5664
2860,2011-06-15,ICICIBANK,EQ,1055.55,1051.0,1053.8,1027.2,1035.05,1031.15,1039.14,1830712,190236068475000.0,55735.0,944452.0,0.5159
2861,2011-06-16,ICICIBANK,EQ,1031.15,1020.0,1043.9,1018.1,1028.5,1028.5,1032.03,3102463,320184290955000.0,63560.0,1203655.0,0.3879999999999999
2862,2011-06-17,ICICIBANK,EQ,1028.5,1039.9,1039.9,1024.05,1029.0,1032.2,1030.15,1612367,166098788020000.0,56904.0,634370.0,0.3934
2863,2011-06-20,ICICIBANK,EQ,1032.2,1030.9,1041.8,1010.0,1026.0,1024.85,1028.98,3141587,323264575165000.0,71651.0,1601688.0,0.5098
2864,2011-06-21,ICICIBANK,EQ,1024.85,1026.7,1038.0,1003.4,1015.55,1014.0,1023.73,4634995,474500489550000.0,87991.0,2808882.0,0.606
2865,2011-06-22,ICICIBANK,EQ,1014.0,1024.35,1027.4,1010.0,1020.6,1018.9,1019.17,2776052,282926925490000.0,65793.0,1504593.0,0.542
2866,2011-06-23,ICICIBANK,EQ,1018.9,1016.0,1035.95,1014.35,1030.0,1030.2,1029.15,2977981,306478901600000.0,63399.0,1645702.0,0.5526
2867,2011-06-24,ICICIBANK,EQ,1030.2,1035.1,1068.9,1035.0,1061.7,1064.1,1057.57,5530183,584856459590000.0,102346.0,3488071.0,0.6307
2868,2011-06-27,ICICIBANK,EQ,1064.1,1054.4,1084.75,1047.2,1083.0,1079.4,1072.58,5798430,621928736300000.0,78954.0,3685375.0,0.6356
2869,2011-06-28,ICICIBANK,EQ,1079.4,1080.0,1092.0,1073.35,1077.15,1083.3,1084.06,3380134,366425221785000.0,59893.0,1765355.0,0.5223
2870,2011-06-29,ICICIBANK,EQ,1083.3,1089.9,1094.7,1083.5,1090.0,1087.25,1087.85,4278928,465481725430000.0,80310.0,2982181.0,0.6969
2871,2011-06-30,ICICIBANK,EQ,1087.25,1091.0,1099.5,1077.0,1090.75,1094.65,1092.47,5501188,600988538080000.0,91311.0,3585710.0,0.6518
2872,2011-07-01,ICICIBANK,EQ,1094.65,1111.35,1111.35,1088.1,1095.75,1094.85,1095.89,2791127,305876328685000.0,58606.0,1433068.0,0.5134000000000001
2873,2011-07-04,ICICIBANK,EQ,1094.85,1110.0,1111.8,1095.25,1096.55,1099.75,1101.14,1801299,198348190595000.0,35768.0,989972.0,0.5496
2874,2011-07-05,ICICIBANK,EQ,1099.75,1101.85,1101.85,1088.05,1098.0,1097.3,1095.53,2069629,226733308830000.03,48892.0,1069943.0,0.517
2875,2011-07-06,ICICIBANK,EQ,1097.3,1092.3,1100.0,1071.6,1073.5,1075.45,1083.16,2414506,261529342020000.0,60275.0,1102492.0,0.4565999999999999
2876,2011-07-07,ICICIBANK,EQ,1075.45,1079.4,1094.2,1063.15,1090.0,1089.85,1078.28,3918667,422540963975000.0,92157.0,1754923.0,0.4478
2877,2011-07-08,ICICIBANK,EQ,1089.85,1091.15,1094.85,1056.75,1060.55,1060.2,1070.06,4104516,439209375765000.0,96648.0,2619683.0,0.6382
2878,2011-07-11,ICICIBANK,EQ,1060.2,1060.0,1060.0,1046.45,1053.8,1054.0,1053.62,2161274,227715626575000.0,52017.0,1231047.0,0.5696
2879,2011-07-12,ICICIBANK,EQ,1054.0,1042.0,1065.45,1037.1,1041.4,1046.65,1049.57,2580225,270813237965000.0,72393.0,952475.0,0.3691
2880,2011-07-13,ICICIBANK,EQ,1046.65,1050.0,1060.3,1046.35,1054.0,1054.0,1054.51,1354527,142836407200000.0,37577.0,524055.0,0.3868999999999999
2881,2011-07-14,ICICIBANK,EQ,1054.0,1049.9,1084.0,1046.2,1065.55,1069.05,1067.19,2374912,253449279535000.0,64497.0,924089.0,0.3891
2882,2011-07-15,ICICIBANK,EQ,1069.05,1065.0,1074.0,1057.5,1060.2,1060.65,1063.24,1558115,165664716145000.0,65001.0,646692.0,0.415
2883,2011-07-18,ICICIBANK,EQ,1060.65,1057.0,1059.5,1041.9,1044.0,1047.6,1051.15,1620502,170339804750000.0,43568.0,805543.0,0.4971
2884,2011-07-19,ICICIBANK,EQ,1047.6,1045.95,1069.9,1041.1,1060.0,1061.8,1056.37,1811824,191396303650000.0,45453.0,657188.0,0.3627
2885,2011-07-20,ICICIBANK,EQ,1061.8,1066.0,1069.0,1042.3,1044.5,1045.35,1054.69,1732852,182761476630000.0,39993.0,747225.0,0.4311999999999999
2886,2011-07-21,ICICIBANK,EQ,1045.35,1042.0,1054.15,1037.25,1040.0,1041.0,1044.23,1396248,145799992100000.0,42334.0,588072.0,0.4211999999999999
2887,2011-07-22,ICICIBANK,EQ,1041.0,1048.0,1070.0,1046.45,1069.8,1068.05,1059.53,2721143,288313678025000.0,59578.0,1646676.0,0.6051
2888,2011-07-25,ICICIBANK,EQ,1068.05,1067.9,1084.0,1056.5,1075.1,1074.85,1070.19,2151239,230223775300000.0,58892.0,875618.0,0.407
